#Associated Gene Name	Strand	Ensembl Transcript ID	Transcription Start Site (TSS)	Chromosome Name
AL354680.1	1	ENST00000411359	12753675	6
AL354720.1	-1	ENST00000581553	73124810	13
AL354732.1	-1	ENST00000579029	170370295	1
AL354741.1	-1	ENST00000459108	106975026	13
AL354749.1	-1	ENST00000610461	82864259	10
AL354764.1	-1	ENST00000390765	60452785	13
AL354775.1	1	ENST00000408758	65864173	13
AL354806.1	-1	ENST00000401112	81204356	13
AL354820.1	-1	ENST00000614871	51456284	13
AL354833.1	1	ENST00000584422	41445291	13
AL354833.2	-1	ENST00000582215	41446125	13
AL354833.3	1	ENST00000582164	41450012	13
AL354855.1	-1	ENST00000620698	131322270	9
AL354873.1	-1	ENST00000618576	114688101	10
AL354896.1	-1	ENST00000411127	88187920	13
AL354923.1	-1	ENST00000583374	99074230	9
AL354928.1	1	ENST00000580940	124896833	9
AL354933.1	1	ENST00000390196	71585089	6
AL354936.1	-1	ENST00000401196	123740532	6
AL354978.1	-1	ENST00000408728	66731058	1
AL354981.1	1	ENST00000583553	117099007	9
AL354984.1	1	ENST00000408080	57918884	20
AL354984.2	1	ENST00000408458	58067456	20
AL354984.3	1	ENST00000408524	57976018	20
AL355149.1	1	ENST00000577341	16548914	1
AL355361.1	-1	ENST00000584134	2789125	10
AL355388.1	1	ENST00000410679	156077373	1
AL355490.1	1	ENST00000577864	97482669	10
AL355512.1	1	ENST00000408432	110434241	10
AL355531.1	1	ENST00000585165	129487869	10
AL355537.1	-1	ENST00000613581	129053052	10
AL355593.1	-1	ENST00000612961	100249313	X
AL355794.1	-1	ENST00000458881	116592199	1
AL355821.1	-1	ENST00000613403	89783968	13
AL355885.1	-1	ENST00000581314	34801585	14
AL355977.1	1	ENST00000621892	23718087	10
AL356019.1	-1	ENST00000579172	20217239	14
AL356020.1	-1	ENST00000584587	53153115	14
AL356131.1	-1	ENST00000408679	61180944	6
AL356137.1	-1	ENST00000408409	140660713	6
AL356140.1	-1	ENST00000580418	83437129	10
AL356154.1	1	ENST00000584578	81144652	10
AL356213.1	1	ENST00000577653	123465085	X
AL356214.1	1	ENST00000408425	93608586	10
AL356253.1	-1	ENST00000613076	64712072	13
AL356261.1	-1	ENST00000585151	5893924	1
AL356270.1	-1	ENST00000408775	86606361	1
AL356309.1	-1	ENST00000408841	126530991	9
AL356310.1	-1	ENST00000410148	211653549	1
AL356417.1	-1	ENST00000620161	159127419	6
AL356458.1	1	ENST00000408419	47502504	1
AL356476.1	-1	ENST00000410699	108703930	10
AL356479.1	-1	ENST00000401218	95505063	1
AL356585.1	-1	ENST00000401278	18282822	13
AL356693.1	-1	ENST00000401226	5815959	1
AL356739.1	1	ENST00000408869	145348758	6
AL356750.1	-1	ENST00000579551	30206699	13
AL356756.1	-1	ENST00000579683	29705402	14
AL356776.1	-1	ENST00000516160	78961572	6
AL356791.1	1	ENST00000619948	26178394	9
AL356865.1	-1	ENST00000581650	118631042	10
AL357075.1	1	ENST00000618173	154503980	6
AL357095.1	-1	ENST00000621675	82427508	14
AL357115.1	1	ENST00000581916	81240820	X
AL357514.1	1	ENST00000516406	112532182	6
AL357515.1	-1	ENST00000583422	110969872	6
AL357519.1	1	ENST00000408632	113704833	6
AL357519.2	1	ENST00000583518	113602915	6
AL357932.1	1	ENST00000581340	195126681	1
AL357936.1	1	ENST00000517131	121539876	9
AL357973.1	1	ENST00000616217	82660030	1
AL358133.1	1	ENST00000583116	69621381	6
AL358134.1	1	ENST00000585146	153344113	6
AL358340.1	-1	ENST00000583762	33977391	14
AL358354.1	1	ENST00000584462	180545832	1
AL358815.1	1	ENST00000578641	109266277	9
AL359091.1	1	ENST00000580080	128476905	9
AL359218.1	1	ENST00000580563	20033661	14
AL359253.1	1	ENST00000459505	75912453	9
AL359262.1	1	ENST00000617580	58937273	13
AL359314.1	1	ENST00000578375	76666086	9
AL359538.1	1	ENST00000390174	24609079	13
AL359538.2	-1	ENST00000582879	24555313	13
AL359542.1	1	ENST00000582964	129821822	X
AL359546.1	-1	ENST00000577878	31066047	10
AL359709.1	-1	ENST00000408617	105181232	6
AL359709.2	-1	ENST00000517109	105196936	6
AL359737.1	1	ENST00000621916	18629193	13
AL359753.1	1	ENST00000582922	159059237	1
AL359771.1	-1	ENST00000577470	13624002	1
AL359815.1	-1	ENST00000408854	21592548	1
AL359851.1	1	ENST00000408290	121868867	X
AL359853.1	-1	ENST00000408620	179710346	1
AL359922.1	-1	ENST00000582560	21808124	9
AL359955.1	-1	ENST00000458761	64809423	9
AL359973.1	-1	ENST00000580761	126472882	X
AL359983.1	1	ENST00000408238	245370334	1
AL359987.1	1	ENST00000583000	92644741	6
AL360001.1	-1	ENST00000620752	103165196	10
AL360074.1	1	ENST00000611955	36256467	1
AL360078.1	-1	ENST00000621024	173296	20
AL360091.1	1	ENST00000390755	212349978	1
AL360176.1	1	ENST00000401153	125842944	10
AL360178.1	1	ENST00000459265	135914755	6
AL360217.1	-1	ENST00000610544	26159545	10
AL360297.1	-1	ENST00000578728	71142068	1
AL365181.1	-1	ENST00000581084	156587955	1
AL365214.1	-1	ENST00000583484	112361939	6
AL365232.1	-1	ENST00000616676	73150650	6
AL365274.1	-1	ENST00000612160	121790522	9
AL365361.1	-1	ENST00000408611	110653031	1
AL365502.1	1	ENST00000580317	137545748	9
AL365510.1	1	ENST00000618408	93975258	10
AL389883.1	1	ENST00000614569	54376458	20
AL389915.1	1	ENST00000612913	107712364	9
AL390036.1	-1	ENST00000582803	108018771	1
AL390065.1	-1	ENST00000612230	2981512	4
AL390071.1	1	ENST00000408592	35494428	13
AL390119.1	-1	ENST00000390797	164983992	1
AL390240.1	1	ENST00000408807	114792194	9
AL390240.2	-1	ENST00000584225	114774407	9
AL390335.1	1	ENST00000408768	41349294	14
AL390776.1	-1	ENST00000516337	44333178	1
AL390788.1	-1	ENST00000617852	80396964	9
AL390966.1	1	ENST00000390809	95134279	X
AL391001.1	1	ENST00000611960	164589509	1
AL391001.2	1	ENST00000613055	164675324	1
AL391056.1	-1	ENST00000401362	129591562	9
AL391117.1	-1	ENST00000578068	22953103	9
AL391123.1	-1	ENST00000617891	70901241	13
AL391261.1	-1	ENST00000458915	66011733	14
AL391375.1	-1	ENST00000408477	126732520	X
AL391380.1	-1	ENST00000580703	135568666	X
AL391384.1	1	ENST00000408054	72851088	13
AL391416.1	1	ENST00000516500	83367706	6
AL391538.1	1	ENST00000408248	48849923	6
AL391559.1	1	ENST00000516867	90446772	6
AL391650.1	1	ENST00000581535	26071578	1
AL391730.1	1	ENST00000613932	40939661	1
AL391827.1	-1	ENST00000615552	101902658	10
AL391839.1	-1	ENST00000410377	32346946	10
AL391867.1	1	ENST00000410185	102295377	9
AL392111.1	1	ENST00000583947	75184958	10
AL392167.1	1	ENST00000616218	111958712	10
AL441988.1	1	ENST00000408392	30402486	20
AL442127.1	1	ENST00000612148	106567782	13
AL442127.2	-1	ENST00000610791	106567764	13
AL442639.1	-1	ENST00000582085	26614125	9
AL442643.1	-1	ENST00000618961	62919556	13
AL445074.1	1	ENST00000410152	42300751	14
AL445204.1	1	ENST00000408389	107121033	13
AL445258.1	-1	ENST00000401213	145990937	X
AL445384.1	1	ENST00000411232	27990005	14
AL445464.1	1	ENST00000577710	75842632	1
AL445531.1	1	ENST00000582499	97700234	9
AL445675.1	-1	ENST00000410702	242897953	1
AL449083.1	-1	ENST00000408183	73291227	9
AL450244.1	-1	ENST00000583711	199615280	1
AL450304.1	-1	ENST00000580734	182959575	1
AL450327.1	-1	ENST00000615624	78909312	6
AL450423.1	-1	ENST00000408063	53367956	13
AL451006.1	1	ENST00000390764	41759141	1
AL451010.1	-1	ENST00000581900	92229339	1
AL451051.1	1	ENST00000516417	99829465	1
AL451164.1	1	ENST00000614084	3234463	10
AL512290.1	-1	ENST00000410189	135977903	6
AL512359.1	-1	ENST00000515922	48494064	14
AL512428.1	-1	ENST00000583229	24840065	6
AL512505.1	1	ENST00000401195	39652578	13
AL512506.1	-1	ENST00000619458	43878307	13
AL512635.1	1	ENST00000408817	20295004	9
AL512640.1	1	ENST00000459472	44034540	10
AL512655.1	-1	ENST00000584726	54805957	13
AL512791.1	1	ENST00000458940	90381198	14
AL513011.1	1	ENST00000620765	102828886	6
AL513023.1	-1	ENST00000616489	164539220	6
AL513123.1	1	ENST00000410745	113514987	6
AL513185.1	-1	ENST00000459103	72576795	10
AL513318.1	-1	ENST00000611051	87114027	9
AL513327.1	-1	ENST00000583214	33332541	1
AL513487.1	-1	ENST00000408390	122471818	X
AL513547.1	1	ENST00000579771	169697248	6
AL583784.1	-1	ENST00000582220	99453469	13
AL583832.1	1	ENST00000515887	205062252	1
AL583860.1	-1	ENST00000408790	126557064	10
AL589669.1	-1	ENST00000612435	147255382	X
AL589675.1	-1	ENST00000408523	2924407	9
AL589736.1	1	ENST00000408630	62683176	6
AL589787.1	-1	ENST00000617443	126387782	10
AL589863.1	1	ENST00000622475	75568543	10
AL589904.1	1	ENST00000619308	140262598	6
AL589931.1	-1	ENST00000612172	158839618	6
AL589947.1	1	ENST00000459381	92812041	6
AL589988.1	-1	ENST00000584200	199981	10
AL590007.1	1	ENST00000390760	38790644	13
AL590084.1	1	ENST00000583770	25203253	6
AL590085.1	-1	ENST00000579998	180827992	1
AL590096.1	-1	ENST00000612951	20575835	13
AL590113.1	1	ENST00000584375	85284610	1
AL590226.1	1	ENST00000408766	136694136	9
AL590233.1	1	ENST00000582777	89497938	9
AL590422.1	-1	ENST00000611666	183783433	1
AL590431.1	1	ENST00000517008	154254444	1
AL590482.1	-1	ENST00000516387	165942341	6
AL590558.1	-1	ENST00000411011	62983170	6
AL590683.1	1	ENST00000408105	24227917	1
AL590683.2	-1	ENST00000584309	24279855	1
AL590684.1	-1	ENST00000584571	74719843	6
AL590703.1	1	ENST00000580588	158174984	6
AL590708.1	-1	ENST00000408370	128257789	9
AL590708.2	-1	ENST00000612529	128260817	9
AL590726.1	1	ENST00000390176	30774228	9
AL590726.2	-1	ENST00000408184	30771199	9
AL590731.1	1	ENST00000578433	120411495	6
AL590763.1	-1	ENST00000577652	71625855	X
AL590764.1	1	ENST00000579622	71141185	X
AL590787.1	1	ENST00000408397	25246531	13
AL590822.1	-1	ENST00000621422	2222500	1
AL590874.1	-1	ENST00000581695	67149599	6
AL590964.1	-1	ENST00000613812	114778595	6
AL591034.1	-1	ENST00000401253	53456533	6
AL591377.1	-1	ENST00000584534	101549771	9
AL591379.1	1	ENST00000582107	63189961	9
AL591415.1	-1	ENST00000408520	47621177	1
AL591428.1	-1	ENST00000618823	123058920	6
AL591509.1	-1	ENST00000617513	7624354	9
AL591610.1	1	ENST00000408565	16897425	6
AL591668.1	-1	ENST00000516153	134403382	X
AL591708.1	1	ENST00000408738	94893501	X
AL591925.1	-1	ENST00000578762	19930891	13
AL592063.1	-1	ENST00000408099	213609840	1
AL592205.1	1	ENST00000390750	96902699	1
AL592205.2	1	ENST00000577912	96935545	1
AL592294.1	-1	ENST00000408780	45232307	1
AL592310.1	1	ENST00000580546	227645280	1
AL592466.1	1	ENST00000410265	65324367	10
AL593844.1	-1	ENST00000612002	68262278	6
AL596092.1	1	ENST00000408743	29222562	13
AL596243.1	-1	ENST00000611720	126863581	X
AL596268.1	-1	ENST00000410932	35056458	X
AL596329.1	-1	ENST00000390718	61760376	13
AL596330.1	1	ENST00000516124	224722467	1
AL603632.1	1	ENST00000410711	106128371	13
AL603650.1	-1	ENST00000583957	134850068	9
AL603650.2	-1	ENST00000581079	134849120	9
AL603650.3	-1	ENST00000582742	134849252	9
AL603650.4	-1	ENST00000583817	134849960	9
AL603766.1	-1	ENST00000584589	149176794	6
AL603831.1	1	ENST00000579524	277184	10
AL603910.1	1	ENST00000580608	73477058	6
AL606500.1	-1	ENST00000611652	154610586	1
AL606519.1	-1	ENST00000578271	80329488	1
AL606923.1	1	ENST00000585220	68493439	6
AL607076.1	-1	ENST00000579579	130995387	10
AL607148.1	-1	ENST00000613906	43250120	13
AL611946.1	-1	ENST00000401338	22748911	1
AL645608.1	1	ENST00000617073	965110	1
AL645730.1	1	ENST00000408819	49982215	1
AL645859.1	-1	ENST00000408623	29253672	1
AL645937.1	1	ENST00000610295	29201768	6
AL645941.1	-1	ENST00000390777	32937010	6
AL645944.1	1	ENST00000410855	29884902	1
AL662797.1	1	ENST00000620079	30684796	6
AL662800.1	-1	ENST00000410962	30616305	6
AL662800.2	1	ENST00000583820	30648666	6
AL662801.1	-1	ENST00000617927	31532869	6
AL669914.1	-1	ENST00000517092	30088953	6
AL671883.1	-1	ENST00000578513	31374403	6
AL671972.1	1	ENST00000408167	62116215	10
AL713997.1	-1	ENST00000582090	10998263	1
AL713999.1	-1	ENST00000401290	155236837	1
AL731561.1	-1	ENST00000584869	47351838	10
AL731568.1	-1	ENST00000401102	75823778	10
AL732325.1	-1	ENST00000612886	19868700	X
AL732375.1	1	ENST00000616015	133748001	10
AL732375.2	1	ENST00000620976	133757919	10
AL732375.3	1	ENST00000621521	133741381	10
AL732375.4	1	ENST00000610446	133751310	10
AL732375.5	1	ENST00000622866	133744691	10
AL732375.6	1	ENST00000611370	133761218	10
AL732375.7	1	ENST00000610885	133754609	10
AL732479.1	-1	ENST00000459197	86302921	10
AL732579.1	1	ENST00000614761	136008483	X
AL844165.1	-1	ENST00000516322	230989123	1
AL845259.1	-1	ENST00000408181	133659675	10
AL845259.2	1	ENST00000619627	133685029	10
AL845259.3	1	ENST00000614770	133678420	10
AL845259.4	1	ENST00000617655	133668512	10
AL845259.5	1	ENST00000617068	133681730	10
AL845259.6	1	ENST00000622886	133675110	10
AL845259.7	1	ENST00000612835	133671811	10
AL845259.8	1	ENST00000621108	133665202	10
AL901608.1	-1	ENST00000581070	105711992	14
AL928742.1	-1	ENST00000581377	105590013	14
AL928742.12	-1	ENST00000412518	105600039	14
AL928742.12	-1	ENST00000428654	105600083	14
AL928742.12	-1	ENST00000420153	105600209	14
AL928742.12	-1	ENST00000427543	105600209	14
AL928742.2	-1	ENST00000578042	105591129	14
AL928761.1	1	ENST00000615518	105663828	14
AL928768.3	-1	ENST00000497872	105704602	14
AL928874.1	1	ENST00000620333	21563072	X
AL928970.1	-1	ENST00000611842	17547	9
AL953885.1	1	ENST00000580355	125287776	X
AL954742.1	-1	ENST00000516103	48814404	22
ALG1L9P	-1	ENST00000524714	71813446	11
ALG1L9P	-1	ENST00000511954	71813845	11
ALG1L9P	-1	ENST00000508969	71813859	11
ALG1L9P	-1	ENST00000525473	71818238	11
ANKRD62P1-PARP4P3	-1	ENST00000457060	16675452	22
ANKRD62P1-PARP4P3	-1	ENST00000456726	16675540	22
AP000146.2	-1	ENST00000454182	24943980	21
AP000146.2	-1	ENST00000441666	24952157	21
AP000146.2	-1	ENST00000444178	24992817	21
AP000221.1	-1	ENST00000419694	25518338	21
AP000221.2	1	ENST00000620629	25454736	21
AP000225.1	-1	ENST00000620129	25681758	21
AP000230.1	1	ENST00000608591	26170871	21
AP000230.1	1	ENST00000609365	26170916	21
AP000233.2	1	ENST00000453802	25095022	21
AP000233.2	1	ENST00000418942	25095042	21
AP000233.3	1	ENST00000426609	25127469	21
AP000233.4	-1	ENST00000409758	25333825	21
AP000235.2	1	ENST00000441009	24840550	21
AP000235.3	1	ENST00000424017	25055535	21
AP000253.1	-1	ENST00000449339	31659500	21
AP000255.6	1	ENST00000610276	31735732	21
AP000261.1	1	ENST00000581586	32151905	21
AP000265.1	-1	ENST00000565959	32261585	21
AP000279.1	1	ENST00000614940	32730987	21
AP000282.3	1	ENST00000424837	32958888	21
AP000289.6	-1	ENST00000421051	33123703	21
AP000295.10	1	ENST00000609556	33309491	21
AP000318.2	1	ENST00000427022	34205055	21
AP000320.7	1	ENST00000362077	34073592	21
AP000343.2	1	ENST00000450776	23326616	22
AP000344.3	1	ENST00000449711	23433564	22
AP000344.3	1	ENST00000428415	23434171	22
AP000345.1	-1	ENST00000320372	23486980	22
AP000345.4	-1	ENST00000432249	23513602	22
AP000350.1	1	ENST00000620093	23903381	22
AP000350.5	-1	ENST00000609510	23907068	22
AP000402.3	-1	ENST00000446404	24902756	21
AP000428.1	-1	ENST00000390706	107254498	8
AP000431.1	-1	ENST00000450653	19047684	21
AP000431.2	1	ENST00000424219	19130523	21
AP000432.2	-1	ENST00000416641	17660384	21
AP000439.1	1	ENST00000545202	69425690	11
AP000439.2	-1	ENST00000544004	69444743	11
AP000439.3	-1	ENST00000542064	69479940	11
AP000439.5	1	ENST00000567742	69467598	11
AP000442.4	-1	ENST00000533552	59566074	11
AP000445.3	1	ENST00000578530	58665801	11
AP000459.7	1	ENST00000433101	23477641	21
AP000462.1	1	ENST00000543182	115396756	11
AP000462.1	1	ENST00000539685	115396820	11
AP000462.1	1	ENST00000540545	115396851	11
AP000462.2	1	ENST00000535704	115363629	11
AP000462.3	1	ENST00000545593	115333577	11
AP000469.2	-1	ENST00000416218	24321377	21
AP000470.2	-1	ENST00000448063	24188342	21
AP000472.2	-1	ENST00000416327	22018156	21
AP000472.2	-1	ENST00000419467	22054369	21
AP000472.2	-1	ENST00000420255	22098459	21
AP000472.3	-1	ENST00000452500	21975681	21
AP000473.5	1	ENST00000413645	16630827	21
AP000473.5	1	ENST00000438762	16631441	21
AP000473.6	-1	ENST00000444868	16815688	21
AP000473.8	1	ENST00000602659	16643529	21
AP000474.1	-1	ENST00000441465	23890541	21
AP000476.1	1	ENST00000453784	24428740	21
AP000476.1	1	ENST00000423581	24428758	21
AP000476.1	1	ENST00000415182	24428781	21
AP000477.2	-1	ENST00000447405	23967273	21
AP000477.3	1	ENST00000415269	24043257	21
AP000477.3	1	ENST00000434859	24043257	21
AP000478.1	1	ENST00000408624	79692379	11
AP000479.1	1	ENST00000532274	56848478	11
AP000479.1	1	ENST00000526436	56848568	11
AP000547.1	-1	ENST00000408157	16598804	22
AP000560.1	-1	ENST00000580820	74753584	11
AP000569.9	-1	ENST00000607953	33968573	21
AP000640.2	1	ENST00000534120	59669312	11
AP000640.2	1	ENST00000531276	59674936	11
AP000654.4	1	ENST00000602510	86833068	11
AP000673.1	1	ENST00000583628	105933954	11
AP000688.15	1	ENST00000445464	36082859	21
AP000688.29	1	ENST00000422473	36104881	21
AP000696.2	-1	ENST00000457669	36637033	21
AP000704.5	1	ENST00000430068	36966512	21
AP000705.7	1	ENST00000444130	22209939	21
AP000719.1	1	ENST00000583110	71905107	11
AP000721.1	1	ENST00000610891	63978006	11
AP000745.1	1	ENST00000408408	17891711	21
AP000769.7	-1	ENST00000602344	65498405	11
AP000770.1	1	ENST00000444123	116639422	11
AP000770.1	1	ENST00000439483	116639480	11
AP000781.1	1	ENST00000580015	57359722	11
AP000787.1	1	ENST00000612679	95254532	11
AP000797.3	1	ENST00000539305	115659658	11
AP000797.4	1	ENST00000537491	115932774	11
AP000797.4	1	ENST00000539222	115932857	11
AP000807.1	-1	ENST00000390804	68506166	11
AP000807.2	-1	ENST00000410407	68505651	11
AP000855.4	1	ENST00000433210	19301613	21
AP000866.1	-1	ENST00000401123	124843147	11
AP000868.1	-1	ENST00000582000	123708770	11
AP000870.1	-1	ENST00000401254	95991017	11
AP000889.3	-1	ENST00000619545	107614456	11
AP000897.1	-1	ENST00000408704	7738225	18
AP000908.1	-1	ENST00000408185	114086929	11
AP000936.2	-1	ENST00000584092	117015529	11
AP000944.1	1	ENST00000615913	65286440	11
AP000946.2	-1	ENST00000443479	19899755	21
AP000959.2	-1	ENST00000441759	22520058	21
AP000960.1	-1	ENST00000614818	23841643	21
AP000962.2	-1	ENST00000602654	16582637	21
AP000997.1	1	ENST00000424313	115628065	11
AP000997.2	1	ENST00000564619	115638563	11
AP000998.2	-1	ENST00000432412	18114904	21
AP001010.1	1	ENST00000580433	13665115	18
AP001032.1	-1	ENST00000516623	5662050	18
AP001042.1	1	ENST00000416842	38846247	21
AP001043.1	1	ENST00000434589	38888772	21
AP001046.5	-1	ENST00000442815	43362349	21
AP001046.6	1	ENST00000435702	43363332	21
AP001048.4	1	ENST00000436359	43465309	21
AP001055.6	-1	ENST00000411694	44160072	21
AP001055.6	-1	ENST00000424921	44160076	21
AP001056.1	1	ENST00000411956	44175489	21
AP001058.3	-1	ENST00000423967	44207399	21
AP001059.6	1	ENST00000619053	44241847	21
AP001059.7	1	ENST00000620163	44244545	21
AP001063.1	-1	ENST00000568332	44348295	21
AP001065.15	1	ENST00000449713	44485577	21
AP001137.1	-1	ENST00000408283	21397826	21
AP001171.1	-1	ENST00000436373	20258820	21
AP001172.2	-1	ENST00000602921	16308133	21
AP001172.3	-1	ENST00000602454	16419080	21
AP001178.1	-1	ENST00000459288	603258	18
AP001198.1	-1	ENST00000614814	13195703	18
AP001205.1	-1	ENST00000579868	100707963	8
AP001255.2	1	ENST00000421604	23065491	21
AP001257.1	-1	ENST00000533106	60160822	11
AP001258.4	-1	ENST00000532845	59140115	11
AP001258.4	-1	ENST00000501817	59142755	11
AP001258.4	-1	ENST00000533220	59142771	11
AP001258.4	-1	ENST00000531708	59143015	11
AP001282.1	-1	ENST00000578526	106801492	11
AP001340.1	1	ENST00000459545	25339005	21
AP001372.2	1	ENST00000526036	74493366	11
AP001372.2	1	ENST00000612462	74497188	11
AP001432.14	1	ENST00000440629	37221419	21
AP001434.2	-1	ENST00000444977	38238201	21
AP001442.2	1	ENST00000617755	25928754	21
AP001442.2	1	ENST00000456904	25933816	21
AP001442.2	1	ENST00000596385	25934087	21
AP001442.2	1	ENST00000599572	25934089	21
AP001442.2	1	ENST00000597894	25934306	21
AP001442.2	1	ENST00000600590	25934312	21
AP001442.2	1	ENST00000596669	25934341	21
AP001453.1	1	ENST00000615965	64313860	11
AP001462.6	1	ENST00000594089	64778954	11
AP001464.4	-1	ENST00000457565	13016692	21
AP001465.5	1	ENST00000427446	13546033	21
AP001476.2	1	ENST00000451618	46037052	21
AP001476.3	1	ENST00000435738	46056516	21
AP001476.4	1	ENST00000429512	46052596	21
AP001482.1	1	ENST00000408203	89112710	11
AP001505.10	1	ENST00000616815	44978832	21
AP001505.9	-1	ENST00000569966	44995185	21
AP001525.1	-1	ENST00000390194	13823986	18
AP001537.1	-1	ENST00000408114	18704454	21
AP001572.1	1	ENST00000401294	103851599	8
AP001595.1	-1	ENST00000435878	26350634	21
AP001604.3	-1	ENST00000420186	27448579	21
AP001605.4	1	ENST00000447384	27361164	21
AP001607.1	1	ENST00000426418	27638693	21
AP001610.9	-1	ENST00000415820	41562958	21
AP001619.1	-1	ENST00000621373	41922274	21
AP001623.1	-1	ENST00000401378	42300345	21
AP001626.1	-1	ENST00000419628	42615058	21
AP001628.6	-1	ENST00000431150	42836477	21
AP001628.7	-1	ENST00000420273	42782233	21
AP001631.1	1	ENST00000580152	43127520	21
AP001631.10	-1	ENST00000433840	43162277	21
AP001634.1	1	ENST00000579980	13985447	21
AP001885.1	1	ENST00000615846	67310006	11
AP001891.1	-1	ENST00000452629	116500630	11
AP001992.1	-1	ENST00000578538	74946078	11
AP001994.1	-1	ENST00000611382	119821927	11
AP002022.1	1	ENST00000611591	102158943	4
AP002364.1	1	ENST00000411169	90324776	11
AP002490.1	-1	ENST00000390800	72078420	11
AP002495.1	-1	ENST00000581755	71802649	11
AP002498.1	1	ENST00000390741	76878232	11
AP002802.1	-1	ENST00000622354	81806635	11
AP002806.1	-1	ENST00000408589	131112015	11
AP002852.1	1	ENST00000610512	102521867	8
AP002856.4	1	ENST00000441665	131187022	11
AP002856.5	1	ENST00000416553	131253422	11
AP002856.5	1	ENST00000606885	131253446	11
AP002856.6	1	ENST00000447864	131204999	11
AP002856.7	1	ENST00000441638	131234538	11
AP002884.1	1	ENST00000401135	112247830	11
AP002958.1	-1	ENST00000579300	78973809	11
AP002967.1	1	ENST00000617414	87089014	11
AP003039.3	-1	ENST00000416725	131663583	11
AP003041.1	-1	ENST00000618716	130121780	11
AP003064.1	1	ENST00000459509	62463635	11
AP003064.2	1	ENST00000582515	62372656	11
AP003096.1	1	ENST00000577192	68619499	11
AP003176.1	-1	ENST00000620135	66882870	11
AP003305.1	1	ENST00000581857	84229560	11
AP003307.1	-1	ENST00000619551	107958009	11
AP003354.1	-1	ENST00000585114	102960920	8
AP003356.1	-1	ENST00000401101	102733719	8
AP003385.1	-1	ENST00000580148	67734608	11
AP003464.1	-1	ENST00000611825	81122586	11
AP003471.1	1	ENST00000410226	104425359	8
AP003471.2	-1	ENST00000579547	104435546	8
AP003498.1	-1	ENST00000408531	71662695	11
AP003550.1	-1	ENST00000579377	103092721	8
AP003558.1	-1	ENST00000580165	99425005	11
AP003774.4	1	ENST00000316124	64449074	11
AP003774.5	1	ENST00000569737	64420391	11
AP003774.5	1	ENST00000449694	64420535	11
AP003774.6	-1	ENST00000457725	64395831	11
AP003900.6	-1	ENST00000622592	10342669	21
AP003900.6	-1	ENST00000616952	10342737	21
AP004242.1	-1	ENST00000408638	93407913	11
AP004371.1	1	ENST00000611542	130569460	11
AP004550.1	1	ENST00000532652	134563396	11
AP005118.1	1	ENST00000580097	7840937	18
AP005135.2	-1	ENST00000532071	135075899	11
AP005138.1	-1	ENST00000410531	4988169	18
AP005227.1	-1	ENST00000390778	8227185	18
AP005271.1	-1	ENST00000582159	10005197	18
AP005273.1	1	ENST00000444862	64500853	11
AP005530.1	1	ENST00000575820	11103	18
AP005530.1	1	ENST00000572573	11191	18
AP005530.2	-1	ENST00000572608	14958	18
AP005530.2	-1	ENST00000572062	16898	18
AP005638.1	1	ENST00000459213	133502877	11
AP005718.1	-1	ENST00000408680	108469552	11
AP006216.11	-1	ENST00000366405	116775876	11
AP006222.2	-1	ENST00000442116	264733	1
AP006222.2	-1	ENST00000448958	268807	1
AP006222.2	-1	ENST00000335577	289370	1
AP006222.2	-1	ENST00000424587	297502	1
AP006261.1	-1	ENST00000618926	14430714	18
AP006285.6	1	ENST00000436539	1688297	11
AP006285.7	-1	ENST00000415865	1663343	11
AP006477.1	-1	ENST00000584406	951364	11
AP006564.1	1	ENST00000579337	14771249	18
AP006621.5	1	ENST00000526588	777578	11
AP006621.5	1	ENST00000530083	777582	11
AP006621.5	1	ENST00000525941	777608	11
AP006621.6	1	ENST00000533938	781645	11
AP006748.1	-1	ENST00000418874	41581319	21
APCDD1L-AS1	1	ENST00000427140	58515379	20
APCDD1L-AS1	1	ENST00000420279	58515499	20
APCDD1L-AS1	1	ENST00000445984	58515499	20
APCDD1L-AS1	1	ENST00000448374	58515499	20
APCDD1L-AS1	1	ENST00000447767	58515543	20
APCDD1L-AS1	1	ENST00000427794	58515568	20
APCDD1L-AS1	1	ENST00000439558	58515727	20
APCDD1L-AS1	1	ENST00000424205	58523160	20
APTR	-1	ENST00000447009	77696253	7
APTR	-1	ENST00000416650	77696262	7
APTR	-1	ENST00000398043	77696265	7
APTR	-1	ENST00000430801	77696265	7
APTR	-1	ENST00000440088	77696265	7
ARHGEF26-AS1	-1	ENST00000610221	154029303	3
ARHGEF26-AS1	-1	ENST00000597231	154030364	3
ARHGEF26-AS1	-1	ENST00000611093	154031519	3
ARHGEF26-AS1	-1	ENST00000601822	154032884	3
ARHGEF26-AS1	-1	ENST00000608560	154039666	3
ARHGEF26-AS1	-1	ENST00000621011	154110351	3
ARHGEF26-AS1	-1	ENST00000491862	154121210	3
ARHGEF26-AS1	-1	ENST00000480639	154121263	3
ARHGEF26-AS1	-1	ENST00000467912	154121332	3
ARHGEF26-AS1	-1	ENST00000479270	154121332	3
ATP1A1-AS1	-1	ENST00000369491	116418536	1
ATP1A1-AS1	-1	ENST00000369492	116418564	1
ATP1A1-AS1	-1	ENST00000493908	116418575	1
ATP1A1-AS1	-1	ENST00000608511	116418622	1
AY269186.1	1	ENST00000440867	23757	3
AY269186.2	-1	ENST00000426697	54346	3
